time,signal,stdev
0.792758,114156.0,1286.822
2.064918,268041.34,23554.457
3.184837,554244.0,10633.282
4.589968,565148.3,576.0228
5.891993,566820.3,1067.6659
7.287284,564988.3,1741.5264
8.723444,564959.0,3476.5437
10.143492,564244.3,3740.0647
11.598333,562848.7,8064.973
13.032138,562678.0,5820.7144
14.450896,561719.0,6133.906
15.866264,561524.0,9570.454
17.27205,562272.3,7876.578
18.709668,559332.0,10280.289
20.115022,559175.3,11268.181
21.512243,563279.3,12456.535
22.9189,570812.0,13493.927
24.264854,574777.3,17991.232
25.632122,580082.3,16868.727
26.995787,583549.3,22794.814
28.367622,585014.3,20867.758
29.722425,585934.3,19061.977
31.069274,583870.7,19167.598
32.421642,584948.7,20944.25
33.774828,583804.3,17964.943
35.01286,582240.3,20402.016
36.344734,586007.0,18068.121
37.69932,585601.7,18289.629
39.047881,582644.7,18090.9
40.407741,583517.7,20060.654
41.771567,585418.0,17059.924
43.144213,583358.3,20125.123
44.512803,586006.0,19256.617
45.867155,586315.7,20272.658
47.254998,586497.3,21950.455
48.627375,585141.0,18724.799
49.979951,586593.3,20224.582
51.360149,584918.3,18130.309
52.604762,585323.3,19068.725
53.792588,585701.0,20231.482
