time,signal,stdev
0.877302,542898.5,106.773125
2.39477,542430.0,533.1585
3.874316,542854.5,886.0048
5.377206,542424.5,959.5439
6.875236,543733.5,668.2159
8.342391,544764.0,2152.433
9.819102,545354.5,648.41693
11.284958,544206.0,161.22035
12.732543,543362.5,101.11627
14.199084,541948.0,3097.1277
15.658746,540795.5,976.51447
17.124022,545395.0,428.5067
18.683561,539406.0,914.99615
20.157478,541312.5,2038.5889
21.642819,544378.0,732.5626
23.134091,542419.5,1799.5868
24.640973,542290.5,2732.9678
26.12486,542145.0,435.5778
27.62617,542935.5,105.35891
29.127933,542802.5,2680.6418
30.596323,544438.0,899.4398
32.049224,545402.5,77.07464
33.513356,540579.0,4156.3735
34.974725,540748.5,3124.7048
36.439391,543069.0,1914.8452
37.892809,544483.0,349.31076
39.372107,544609.5,1259.3572
40.851122,542835.5,464.56915
42.343085,542757.5,654.0738
43.839565,541968.0,1088.9445
45.311772,541900.5,375.4737
46.779237,542883.5,1092.48
48.25053,542018.0,820.2439
49.732725,542702.0,2968.4343
51.197466,542608.5,4599.7295
52.664158,541664.0,560.02856
54.122696,541709.5,2106.4712
55.597891,544217.0,1200.6674
57.053904,542303.5,1018.94086
58.533148,542109.5,682.35803
