time,signal,stdev
0.535683,568796.5,18344.47
1.610906,565192.5,15476.446
2.689046,568498.5,15292.599
3.772542,563500.0,19492.105
4.843727,566977.5,13637.969
5.916553,562533.0,14016.2705
6.981912,563968.5,9491.494
8.05535,566755.0,14464.576
9.13829,569379.5,10255.17
10.216872,567261.5,8746.204
11.29311,567451.5,10771.357
12.379781,565260.5,3025.7097
13.458726,569473.5,4855.702
14.540428,565945.0,5183.093
15.620558,569412.0,4439.2163
16.803196,568781.5,1306.0262
18.012066,570215.5,639.93164
19.3985,568442.5,193.04015
20.580145,572454.5,3230.7708
21.757846,574690.0,2370.222
22.867047,568385.5,1007.62714
23.941103,569498.5,1570.4841
25.021167,571561.5,893.07587
26.090657,571633.5,2485.4802
27.164598,572124.0,4207.285
28.232518,571041.0,1473.6105
29.317151,572551.5,3442.9028
30.397127,571440.5,1167.4333
31.472093,572361.0,2167.9895
32.553962,570232.5,3630.9932
33.634922,573162.0,1660.2867
34.716158,572901.5,1273.4993
35.789568,571589.5,3048.3372
36.855097,570259.0,7162.9917
37.932736,569046.0,5246.7324
39.003406,569093.0,8831.764
40.079146,569783.0,8254.765
41.141113,568197.0,11709.688
42.204753,568228.0,13050.362
43.268396,568620.5,12956.317
44.344003,568843.0,13097.031
45.410793,568893.5,13079.3545
46.475331,565416.5,12199.714
47.537924,566910.0,11834.139
48.603238,567178.0,10353.457
49.681792,566440.5,12396.289
50.747703,564346.0,10084.757
51.813082,567666.5,17340.379
52.877256,566398.5,11421.8955
53.942843,570075.5,15750.804
55.004911,568308.0,12148.094
56.076171,567504.0,12306.486
57.136837,570763.5,16001.119
58.201431,566635.0,7424.621
59.271889,569145.0,9841.512
60.339721,566864.0,10926.214
61.417596,565282.0,11599.379
62.486915,566785.0,14137.893
63.552956,566480.0,11039.351
64.627379,567521.5,10615.794
65.691812,569580.5,11870.201
66.763263,566652.0,10422.754
67.835551,565858.0,5481.4917
68.906169,567891.0,9315.425
69.978609,566741.5,12093.647
71.045847,571038.5,11612.815
