time,signal
0.553183,549334.0
1.648621,550802.0
2.757972,551698.0
3.845855,552425.0
4.93268,550599.0
6.026471,549281.0
7.111752,554921.0
8.198175,552640.0
9.27746,554611.0
10.357216,555286.0
11.441871,553275.0
12.524539,552245.0
13.603304,549047.0
14.692782,555974.0
15.769201,554607.0
16.843718,552180.0
17.922383,559314.0
19.001443,553999.0
20.095273,553705.0
21.180888,552999.0
22.258379,553394.0
23.338835,551541.0
24.418615,549549.0
25.508496,551226.0
26.598843,550445.0
27.684571,553191.0
28.76799,551667.0
29.851974,555541.0
30.944512,551346.0
32.047193,550450.0
33.131151,550721.0
34.217673,554200.0
35.299378,552894.0
36.379929,548845.0
37.474591,551950.0
38.559295,552051.0
39.643056,555915.0
40.73195,553870.0
41.810183,556271.0
42.887884,554782.0
43.965459,554685.0
45.047557,553366.0
46.129485,555434.0
47.209255,554307.0
48.284134,556629.0
49.375171,557688.0
50.457887,558857.0
51.542029,556527.0
52.622382,557554.0
53.70069,554169.0
54.789492,556158.0
55.866356,555737.0
56.942827,555034.0
58.021748,555792.0
59.10045,557805.0
60.181065,555505.0
61.261618,558935.0
62.339107,556406.0
63.413893,558883.0
64.488119,555838.0
65.563914,557987.0
66.661126,558420.0
67.745528,557195.0
68.82283,558383.0
69.896346,557677.0
70.969088,559739.0
72.053031,559551.0
73.130263,560791.0
74.20782,559798.0
75.280635,560725.0
76.352514,560017.0
77.430354,558510.0
78.515827,557432.0
79.592055,560249.0
80.667845,562676.0
81.746706,562866.0
82.823645,560425.0
83.91058,559528.0
84.986647,564427.0
86.061047,558446.0
87.141609,566661.0
88.219601,563520.0
89.295555,562086.0
90.371653,563679.0
91.443457,561834.0
92.517698,564603.0
93.592183,563472.0
94.669179,562927.0
95.754959,564165.0
96.8331,562824.0
97.906397,564055.0
98.979497,565443.0
100.052832,565493.0
101.140563,566030.0
102.219254,567474.0
103.309044,565737.0
104.381282,568392.0
105.453258,567309.0
106.523491,569213.0
107.606148,571380.0
108.68144,569923.0
109.759338,565550.0
110.836174,566619.0
111.913451,568697.0
113.005983,572564.0
114.084803,569089.0
115.165397,571903.0
116.244342,574917.0
117.318737,571978.0
118.394956,572258.0
119.471548,574160.0
120.541424,571710.0
121.614763,573440.0
122.69325,573132.0
123.771914,578859.0
124.862253,580313.0
125.935242,578027.0
127.007582,578236.0
128.077454,579990.0
129.149865,579694.0
130.237464,582313.0
131.319151,581138.0
132.396858,581613.0
133.477852,583338.0
134.550034,581129.0
135.62265,583309.0
136.705641,585531.0
137.784543,584285.0
138.864892,586403.0
139.938169,586978.0
141.010975,586254.0
142.096242,592242.0
143.171982,593212.0
144.256943,589256.0
145.335345,591929.0
146.4071,594767.0
147.490614,594939.0
148.585349,593470.0
149.663075,597460.0
150.739873,596493.0
151.818338,600595.0
152.896641,601513.0
153.982374,601778.0
155.063181,603427.0
156.145845,601976.0
157.221792,603937.0
158.300462,604873.0
159.386771,605975.0
160.464901,609884.0
161.537729,610504.0
162.608171,610713.0
163.683191,609778.0
164.76932,612634.0
165.85279,617100.0
166.929954,616843.0
168.008421,615856.0
169.083646,617186.0
170.159337,617860.0
171.253844,615674.0
172.337158,619246.0
173.417195,618770.0
174.505591,621076.0
175.585359,619997.0
176.678958,622190.0
177.779406,622435.0
178.866168,620491.0
179.952501,623400.0
181.038098,618489.0
182.125407,618425.0
183.212716,619112.0
184.300444,619184.0
185.390648,617976.0
186.479283,618538.0
187.561872,618803.0
188.657542,619070.0
189.748327,618612.0
190.833267,619455.0
191.918092,618617.0
193.001362,618343.0
194.095339,618331.0
195.179975,618321.0
196.2591,620909.0
197.352887,620314.0
198.438331,620186.0
199.536671,621555.0
200.624058,618497.0
201.715397,621058.0
202.797284,621582.0
203.884017,620234.0
204.978028,617027.0
206.620067,617471.0
207.724059,617370.0
208.823285,618941.0
209.920668,619642.0
211.059446,618566.0
212.16569,621138.0
213.262256,619538.0
214.355827,620888.0
215.446045,618314.0
216.535471,618749.0
217.62975,619006.0
218.714412,620636.0
219.799473,616341.0
220.893283,618402.0
221.982126,619158.0
223.079672,620698.0
224.174353,617888.0
225.275939,620915.0
226.366514,619882.0
227.460823,620047.0
228.550912,619362.0
229.653279,620354.0
230.745619,618924.0
231.831258,619564.0
232.921543,616753.0
234.002794,617674.0
235.110795,618225.0
236.197889,618867.0
237.283863,618189.0
238.364146,617636.0
239.445336,620354.0
240.531329,620406.0
241.614032,619538.0
242.693658,619734.0
243.776917,619801.0
244.868578,617866.0
245.978886,618941.0
247.079563,620508.0
248.188057,617505.0
249.273999,616264.0
250.355,619123.0
251.438177,620652.0
252.54167,616577.0
253.62884,618473.0
254.749671,620583.0
255.834632,619876.0
256.915005,618987.0
258.006388,618844.0
259.093122,620164.0
260.180803,620134.0
