time,signal_1,signal_2
0.58152,545857.0,543334.0
1.707564,542185.0,542203.0
2.839542,542183.0,542225.0
3.975706,538944.0,542032.0
5.105535,543072.0,545473.0
6.249825,543105.0,541607.0
7.399827,541629.0,544968.0
8.532875,544161.0,540054.0
9.664569,542431.0,543283.0
10.801268,538885.0,542044.0
11.922236,542489.0,539583.0
13.055967,537022.0,541936.0
14.182405,536812.0,540549.0
15.30695,537258.0,541163.0
16.452779,544325.0,542629.0
17.586156,545982.0,542790.0
18.713921,541938.0,542860.0
19.835778,542836.0,541980.0
20.962795,541198.0,538390.0
22.149422,543639.0,540115.0
23.297219,540154.0,546146.0
25.079103,544636.0,540760.0
26.248385,544861.0,539339.0
27.420005,542934.0,539793.0
28.568727,544069.0,544492.0
29.711587,542790.0,547698.0
30.853993,542868.0,544483.0
31.988708,540812.0,546549.0
33.195674,542062.0,546932.0
34.345287,539695.0,549568.0
35.48991,539778.0,547263.0
36.639359,538756.0,547524.0
37.779135,542850.0,544818.0
38.936727,542214.0,545722.0
40.088622,542687.0,546167.0
41.236635,541541.0,546390.0
42.369157,543615.0,548208.0
43.515043,542069.0,547173.0
44.671518,542421.0,548058.0
45.806535,542708.0,543866.0
46.936797,541870.0,544731.0
48.070162,543399.0,547643.0
49.193349,543875.0,546788.0
50.342599,546402.0,549489.0
51.494093,542465.0,548146.0
52.616551,544861.0,548504.0
53.747321,547748.0,548343.0
54.877635,548975.0,549252.0
56.020926,546822.0,548885.0
57.161696,546419.0,550291.0
58.350734,544934.0,550740.0
59.511386,545129.0,547870.0
60.657782,545233.0,549863.0
61.790453,544919.0,550567.0
63.057712,548545.0,548462.0
64.337733,547356.0,546426.0
65.609093,548535.0,548336.0
66.857449,548814.0,548317.0
68.112132,549145.0,547288.0
69.372763,549799.0,547494.0
70.641089,548188.0,547337.0
71.897875,546194.0,550584.0
73.165574,545919.0,548496.0
74.456265,548145.0,548529.0
75.712282,546565.0,551975.0
76.972363,549539.0,547534.0
78.232271,551669.0,547469.0
79.475495,549996.0,551398.0
80.719069,550702.0,551195.0
81.94802,549790.0,551086.0
83.210042,550790.0,550844.0
84.474376,550992.0,550713.0
85.742759,549446.0,553486.0
86.976389,551923.0,550877.0
88.249828,553865.0,553770.0
89.551239,547503.0,548780.0
90.829468,549918.0,551885.0
92.056552,549032.0,552022.0
93.337343,551771.0,551323.0
94.573774,553239.0,551372.0
95.848066,552449.0,552282.0
97.122647,551873.0,554300.0
98.4328,550082.0,552170.0
99.595166,552441.0,553955.0
100.733739,554494.0,559020.0
101.869479,553514.0,553312.0
103.042285,554578.0,553569.0
104.186678,554001.0,556974.0
105.385058,552642.0,556511.0
106.576549,555583.0,555113.0
107.740284,554064.0,555057.0
108.934388,552635.0,553532.0
110.100523,552087.0,556365.0
111.263186,552647.0,559688.0
112.424334,555246.0,560256.0
113.638584,554615.0,560037.0
116.273883,556649.0,558145.0
117.488107,554226.0,559070.0
118.654694,554825.0,559100.0
119.817675,556362.0,557424.0
120.972276,555034.0,558048.0
122.132887,555603.0,561002.0
123.305044,555647.0,559625.0
124.483786,556304.0,563309.0
125.636524,556744.0,561758.0
126.785907,558395.0,563176.0
127.938629,556404.0,558192.0
129.081165,557593.0,560112.0
130.225954,556613.0,560194.0
131.379767,561073.0,561088.0
132.539455,559365.0,563088.0
133.687346,561329.0,561847.0
134.835584,558390.0,565483.0
135.978198,559140.0,568589.0
137.139387,558719.0,565621.0
138.278651,561808.0,565097.0
139.430017,562550.0,564162.0
140.560515,562294.0,564942.0
141.679896,564044.0,567838.0
142.794788,562792.0,568711.0
143.91116,567206.0,567002.0
145.021906,564580.0,571516.0
146.135699,564022.0,570220.0
147.254349,567866.0,569331.0
148.391509,568551.0,571902.0
149.520463,567310.0,569442.0
150.642469,569178.0,571971.0
151.761415,569663.0,572013.0
152.877763,570187.0,574846.0
153.987846,570626.0,574265.0
155.115354,569914.0,573557.0
156.23901,570543.0,575466.0
157.353213,573389.0,577408.0
158.465163,575563.0,575567.0
159.577391,575041.0,576175.0
160.697597,574853.0,581771.0
161.812794,578033.0,585259.0
162.928532,577575.0,584775.0
164.045744,578216.0,583809.0
165.172221,578756.0,584260.0
166.28988,576475.0,589022.0
167.409998,582408.0,587509.0
168.520061,584228.0,589515.0
169.669534,580504.0,589929.0
171.209244,583828.0,587663.0
172.37153,582467.0,586105.0
173.507092,587278.0,590380.0
174.677332,588954.0,590205.0
176.161272,589991.0,590012.0
177.347628,588744.0,593653.0
178.521732,591275.0,595948.0
179.682733,590418.0,595588.0
180.800361,593639.0,597953.0
181.913879,595666.0,596898.0
183.055215,596036.0,596444.0
184.189192,596491.0,598813.0
185.376711,596022.0,601327.0
186.510359,598716.0,602986.0
187.670332,598792.0,603680.0
188.917032,598188.0,605285.0
190.175114,599647.0,607086.0
191.433828,601869.0,611208.0
192.705791,602329.0,605537.0
193.989646,602241.0,608197.0
195.289534,601520.0,610324.0
196.562677,602499.0,611250.0
197.845283,604946.0,610300.0
199.14029,603763.0,613698.0
200.401237,603248.0,612976.0
201.650799,604212.0,610810.0
202.925026,601214.0,609931.0
204.192224,600689.0,609415.0
205.471513,601031.0,609357.0
206.748975,600371.0,606322.0
207.976221,601169.0,607079.0
209.2218,600874.0,610187.0
210.487188,601931.0,609339.0
211.734462,600747.0,607650.0
213.015739,601439.0,606404.0
214.28734,602078.0,609282.0
215.551015,601492.0,605054.0
216.801579,601051.0,610067.0
218.053949,601609.0,607830.0
219.351338,599929.0,608823.0
220.624114,600802.0,609248.0
221.890919,601807.0,605871.0
223.174902,600708.0,607287.0
224.459434,602652.0,608304.0
225.717265,599939.0,609541.0
226.979447,602861.0,608707.0
228.268181,601116.0,609960.0
229.546123,602695.0,608676.0
230.820774,600959.0,607582.0
232.086774,600053.0,608583.0
233.319202,602937.0,607335.0
234.590496,600540.0,609275.0
235.836434,600649.0,609030.0
237.132877,600733.0,605174.0
238.41521,601399.0,607682.0
239.699511,601939.0,607787.0
240.945293,601723.0,606978.0
242.20915,602825.0,608152.0
243.482022,602625.0,609747.0
244.760239,601969.0,607065.0
246.025762,599230.0,610354.0
247.267765,601024.0,610066.0
248.5048,601168.0,611552.0
249.779455,599332.0,606754.0
251.062245,599532.0,609849.0
252.328534,601503.0,611739.0
254.156229,600753.0,610645.0
255.424708,601139.0,607731.0
256.845738,600933.0,606134.0
258.095415,604006.0,610956.0
259.238672,601569.0,608984.0
260.397792,601299.0,608841.0
261.555289,601740.0,610909.0
262.704999,601183.0,609882.0
263.835756,603786.0,608044.0
264.962119,601436.0,608539.0
266.126119,602251.0,604636.0
267.257582,601892.0,609004.0
268.394321,600368.0,609633.0
269.55292,601356.0,607816.0
270.71672,600619.0,608403.0
271.865678,600020.0,606495.0
272.994624,600255.0,607300.0
274.122401,601146.0,603836.0
275.255876,601915.0,602148.0
276.37918,601579.0,605597.0
277.528211,600332.0,607010.0
278.655551,599022.0,608351.0
279.786875,602782.0,607334.0
280.906648,601723.0,604479.0
282.035651,604377.0,610902.0
283.183794,602342.0,607708.0
284.327155,604182.0,608611.0
285.501896,602779.0,607448.0
286.655165,603508.0,605321.0
287.788963,602757.0,607046.0
